post_id,title,category,score,num_comments,author,collected_at
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,318,90,player_piano,2026-04-10 14:00:05
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,10,3,bookofjoe,2026-04-10 14:00:07
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 14:00:35
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 14:01:12
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,11,0,n1b0m,2026-04-10 14:01:16
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 14:01:25
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,8,0,latexr,2026-04-10 14:01:53
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,38,23,beardyw,2026-04-10 14:01:54
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 14:03:01
47709273,Wild chimpanzees recorded waging 'civil war' with coordinated attacks,worldnews,5,0,geox,2026-04-10 14:03:04
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-10 14:03:42
47663743,"Show HN: Moon simulator game, ray-casting",sports,105,24,JKCalhoun,2026-04-10 14:04:49
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,113,35,pruz,2026-04-10 14:05:56
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 14:07:05
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,9,0,breve,2026-04-10 14:07:10
47709535,Lethal conflict after group fission in wild chimpanzees,sports,8,1,impish9208,2026-04-10 14:07:24
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,539,163,akyuu,2026-04-10 14:07:36
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 14:07:37
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-10 14:07:47
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 14:11:16
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 14:11:44
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,10,naorz,2026-04-10 14:11:55
47708818,Native Instant Space Switching on macOS,science,478,216,PaulHoule,2026-04-10 14:12:07
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,26,5,LabsLucas,2026-04-10 14:13:01
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 14:16:33
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 14:17:11
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 14:17:26
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-10 14:20:05
47709360,CDC study shows Covid shot benefits; Trump official blocks release,science,17,2,ColinWright,2026-04-10 14:20:11
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,148,135,randerson_112,2026-04-10 14:20:50
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,45,23,behat,2026-04-10 14:20:57
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,23,2,larry-the-agent,2026-04-10 14:20:59
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,24,7,eummm,2026-04-10 14:21:39
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,119,56,DamnInteresting,2026-04-10 14:22:01
